Capital: 3.5e+07
Tasa: 0.0035
Periodos: 35
Cuota: 1.06425e+06

                       Periodo                         Monto                Interes Pagado                Aporte Capital                         Deuda
                             1               35000000.000000                 122500.000000                 941747.007450               34058252.992550
                             2               34058252.992550                 119203.885474                 945043.121976               33113209.870575
                             3               33113209.870575                 115896.234547                 948350.772903               32164859.097672
                             4               32164859.097672                 112577.006842                 951670.000608               31213189.097065
                             5               31213189.097065                 109246.161840                 955000.845610               30258188.251455
                             6               30258188.251455                 105903.658880                 958343.348569               29299844.902885
                             7               29299844.902885                 102549.457160                 961697.550289               28338147.352596
                             8               28338147.352596                  99183.515734                 965063.491715               27373083.860881
                             9               27373083.860881                  95805.793513                 968441.213936               26404642.646944
                            10               26404642.646944                  92416.249264                 971830.758185               25432811.888759
                            11               25432811.888759                  89014.841611                 975232.165839               24457579.722920
                            12               24457579.722920                  85601.529030                 978645.478419               23478934.244501
                            13               23478934.244501                  82176.269856                 982070.737594               22496863.506907
                            14               22496863.506907                  78739.022274                 985507.985175               21511355.521731
                            15               21511355.521731                  75289.744326                 988957.263123               20522398.258608
                            16               20522398.258608                  71828.393905                 992418.613544               19529979.645064
                            17               19529979.645064                  68354.928758                 995892.078692               18534087.566372
                            18               18534087.566372                  64869.306482                 999377.700967               17534709.865405
                            19               17534709.865405                  61371.484529                1002875.522921               16531834.342484
                            20               16531834.342484                  57861.420199                1006385.587251               15525448.755233
                            21               15525448.755233                  54339.070643                1009907.936806               14515540.818427
                            22               14515540.818427                  50804.392864                1013442.614585               13502098.203842
                            23               13502098.203842                  47257.343713                1016989.663736               12485108.540106
                            24               12485108.540106                  43697.879890                1020549.127559               11464559.412547
                            25               11464559.412547                  40125.957944                1024121.049506               10440438.363041
                            26               10440438.363041                  36541.534271                1027705.473179                9412732.889862
                            27                9412732.889862                  32944.565115                1031302.442335                8381430.447527
                            28                8381430.447527                  29335.006566                1034912.000883                7346518.446644
                            29                7346518.446644                  25712.814563                1038534.192886                6307984.253758
                            30                6307984.253758                  22077.944888                1042169.062561                5265815.191196
                            31                5265815.191196                  18430.353169                1045816.654280                4219998.536916
                            32                4219998.536916                  14769.994879                1049477.012570                3170521.524346
                            33                3170521.524346                  11096.825335                1053150.182114                2117371.342231
                            34                2117371.342231                   7410.799698                1056836.207752                1060535.134479
                            35                1060535.134479                   3711.872971                1060535.134479                      0.000001
